"","year","month","H_PRCP","H_TAVG","MEI","PDO","IOD","AO1","PDO1","my.sunspot.vec","F_PRCP","F_TAVG"
"156",1963,1,4.39,58.9,-0.718,-0.33,0.514,-3.311,0.485397192058397,19.8,2.16,42.2
"157",1963,2,2.89,62,-0.837,-0.16,0.579,-1.721,0.74095438147414,24.4,2.01,56.4
"158",1963,3,15.64,60.1,-0.675,-0.54,0.371,0.724,0.94862586528151,17.1,2.1,53.3
"159",1963,4,33.81,60.1,-0.768,-0.41,0.139,-0.348,0.948099724941161,29.3,3.67,55.9
"160",1963,5,8.72,59.8,-0.48,-0.65,-0.11,0.771,0.577793088645299,43,0.39,67.6
"161",1963,6,6.63,60.9,-0.112,-0.88,-0.043,-0.585,-0.051216908426417,35.9,0.03,73.2
"162",1963,7,9.37,62.2,0.403,-1,0.52,-0.303,-1.09884921965994,19.6,0,78.5
"163",1963,8,4.98,62.1,0.611,-1.03,0.764,-0.625,-1.85077992907677,33.2,0.01,78.2
"164",1963,9,5.67,63.9,0.778,0.45,0.459,0.083,-1.42499250714265,38.8,0.15,76.5
"165",1963,10,3.34,62.4,0.848,-0.52,0.797,1.069,-0.739913764754696,35.3,0.95,65.4
"166",1963,11,5.29,60.7,0.866,-2.08,0.576,-0.419,-4.20736349629177e-05,23.4,2.54,52.1
"167",1963,12,1.84,60.3,0.765,-1.08,0.165,-1.178,0.405336231356819,14.9,0.27,40
"168",1964,1,12.94,58.1,0.878,0.01,-0.277,0.385,0.76140680319419,15.3,0.67,43.8
"169",1964,2,17.17,56.9,0.481,-0.21,-0.506,-0.575,0.955658272760248,17.7,0,47.4
"170",1964,3,25.15,57.7,-0.256,-0.87,-0.145,-0.558,0.996336342798243,16.5,1.27,51.3
"171",1964,4,8.56,58,-0.562,-1.03,-0.032,0.663,0.912972455429131,8.6,0.5,58.8
"172",1964,5,23.36,58.8,-1.249,-1.91,-0.306,1.174,0.441294230408819,9.5,0.35,64.9
"173",1964,6,3.85,62.7,-1.113,-0.32,-0.135,0.142,-0.256387115095838,9.1,0.06,73.3
"174",1964,7,2.79,62.7,-1.386,-0.51,-0.511,0.734,-1.11552283852368,3.1,0,80.9
"175",1964,8,3.81,62.4,-1.476,-1.03,-0.378,-1.207,-1.93586545904914,9.3,0.25,78.9
"176",1964,9,6.65,62,-1.284,-0.68,-0.588,-0.227,-1.81088242568806,4.7,0,71
"177",1964,10,3.75,61.3,-1.196,-0.37,-0.645,0.342,-0.989220972909772,6.1,1.23,68.2
"178",1964,11,14.19,59.9,-1.211,-0.8,-0.013,-0.344,-0.293155186990532,7.4,1.49,51.2
"179",1964,12,10.06,60.6,-0.907,-1.52,0.055,-0.246,0.0740139194949165,15.1,2.63,48.9
"180",1965,1,7.79,58.6,-0.536,-1.24,-0.145,-1.046,0.440898791093498,17.5,1.05,46.3
"181",1965,2,6.17,54.8,-0.329,-1.16,-0.266,-2.084,0.767782554250329,14.3,0.43,49.5
"182",1965,3,8.58,56.8,-0.259,0.04,-0.018,-0.905,0.906001565779665,11.7,2.39,55.5
"183",1965,4,12.86,59.3,0.063,0.62,-0.088,0.568,0.841592715476499,6.8,1.75,60.8
"184",1965,5,15.73,61.8,0.474,-0.66,-0.321,-0.153,0.566403968774459,24.1,0,67.4
